,time,moving,distance,gap_distance,watts,watts_calc,heartrate,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
2333,2333,   true,25511.9,25837.7,151,0,160,94,12.1,0.07714561234329742,0.08395522388059645,51.208240999999994,-0.271099,11,76.6,81.32903225806452,-4.3,25491.70722021373,12.730771539188924,50,60,70,80,90,100,110,120,12.80000000000291,12.730771539187117,55.25305589762513,54.65700275975127,0.6000000000058208,0.5241288705219631
2334,2334,   true,25524.9,25849.9,272,134,160,104,12.4,0.07554296506137761,0.07992007992008109,51.208276,-0.270921,11,76.2,81.1290322580645,-3.0,25504.703573050378,12.996352836645084,50,60,70,80,90,100,110,120,13.0,12.99635283664611,56.99320341000001,56.96122889234842,0.19999999999708962,0.2655812974589935
2335,2335,   true,25538.4,25862.9,205,208,160,107,12.8,0.07455731593662679,0.07820136852394972,51.20831,-0.270735,11,75.8,80.91612903225806,-1.8,25518.20110645548,13.497533405101736,50,60,70,80,90,100,110,120,13.5,13.497533405101422,61.46160545250001,61.43914811429062,0.5,0.501180568455311
2336,2336,   true,25552.4,25876.6,182,423,160,107,13.1,0.07352941176470391,0.07655502392344497,51.208343,-0.270542,11,75.6,80.69677419354835,-1.4,25532.13772831596,13.936621860480175,50,60,70,80,90,100,110,120,14.0,13.936621860480955,66.09862644,65.50152277208277,0.5,0.4390884553795331
2337,2337,   true,25566.5,25890.3,13,563,160,71,13.5,0.07285974499089301,0.07532956685499008,51.208377,-0.270347,11,75.6,80.47741935483869,-1.4,25546.23820346095,14.1004751449914,50,60,70,80,90,100,110,120,14.099999999998545,14.100475144990924,67.04626491088617,67.05078366745174,0.09999999999854481,0.16385328450996894
2338,2338,   true,25580.5,25904.0,0,374,160,59,13.7,0.07239819004524888,0.07441860465116279,51.208407,-0.27015300000000003,11,75.4,80.25161290322579,-1.4,25560.15833695756,13.92013349660848,50,60,70,80,90,100,110,120,14.0,13.920133496609196,66.09862644,65.34662525490228,-0.09999999999854481,-0.18034164838172728
2339,2339,   true,25594.2,25917.2,0,163,160,57,13.9,0.07233273056057961,0.07407407407407407,51.208432,-0.269961,11,75.0,80.01290322580644,-1.8,25573.81935117088,13.661014213320385,50,60,70,80,90,100,110,120,13.700000000000728,13.661014213321323,63.29617957410674,62.936451065481236,-0.2999999999992724,-0.25911928328787326
2340,2340,   true,25607.9,25930.5,0,350,159,58,13.9,0.07246376811594346,0.07414272474513338,51.208463,-0.26977199999999996,11,74.8,79.76774193548384,-1.8,25587.42929955486,13.60994838397716,50,60,70,80,90,100,110,120,13.700000000000728,13.609948383978917,63.29617957410674,62.466808749947226,0.0,-0.05106582934240578
2341,2341,   true,25621.7,25943.9,124,369,158,83,13.9,0.07266121707538697,0.07421150278293186,51.208495,-0.269581,11,74.6,79.52258064516127,-1.5,25601.202373616696,13.773074061834086,50,60,70,80,90,100,110,120,13.799999999999272,13.77307406183536,64.22358377159324,63.973207945730515,0.09999999999854481,0.16312567785644205
2342,2342,   true,25635.4,25957.4,265,341,158,98,13.8,0.07292616226071055,0.07441860465116279,51.208526,-0.26939,11,74.4,79.27096774193548,-1.1,25614.947131719262,13.744758102564735,50,60,70,80,90,100,110,120,13.700000000000728,13.744758102566266,63.29617957410674,63.71043426774623,-0.09999999999854481,-0.028315959269093582
2343,2343,   true,25649.0,25970.9,174,331,158,98,13.7,0.07299270072992797,0.07434944237918316,51.208557,-0.269202,11,74.2,79.01290322580644,-0.7,25628.489674724577,13.542543005314043,50,60,70,80,90,100,110,120,13.599999999998545,13.542543005314656,62.37552013438666,61.84958788217684,-0.10000000000218279,-0.20221509725161013
2344,2344,   true,25662.8,25984.5,125,539,157,90,13.7,0.07299270072992797,0.07434944237918316,51.208591999999996,-0.269013,11,74.2,78.74838709677417,-0.7,25642.218983418617,13.72930869404005,50,60,70,80,90,100,110,120,13.799999999999272,13.72930869404081,64.22358377159324,63.56729091984775,0.2000000000007276,0.18676568872615462
2345,2345,   true,25676.6,25998.1,198,522,157,86,13.7,0.07319304666056774,0.07434944237918316,51.208627,-0.26882399999999995,11,74.2,78.49032258064514,-1.1,25655.94828251727,13.72929909865284,50,60,70,80,90,100,110,120,13.799999999999272,13.729299098653428,64.22358377159324,63.567202065764604,0.0,-9.595387382432818e-06
2346,2346,   true,25690.2,26011.5,237,323,158,98,13.7,0.0734618916437113,0.07462686567164381,51.208663,-0.268637,11,74.0,78.21935483870966,-1.1,25669.57626630262,13.627983785350105,50,60,70,80,90,100,110,120,13.600000000002183,13.627983785350807,62.375520134420036,62.632475864920565,-0.19999999999708962,-0.10131531330262078
2347,2347,   true,25703.8,26024.8,147,177,157,97,13.7,0.07373271889400923,0.07504690431519802,51.208698,-0.26845,11,73.6,77.93548387096772,-1.5,25683.171994098295,13.595727795672003,50,60,70,80,90,100,110,120,13.599999999998545,13.595727795673156,62.37552013438666,62.33633791207378,-3.637978807091713e-12,-0.03225598967765109
2348,2348,   true,25717.5,26038.1,90,520,158,90,13.7,0.07441860465116279,0.07568590350047251,51.208733,-0.268264,11,73.6,77.65161290322577,-1.5,25696.70098020366,13.528986105364904,50,60,70,80,90,100,110,120,13.700000000000728,13.52898610536431,63.29617957410674,61.72581954918855,0.10000000000218279,-0.06674169030884514
2349,2349,   true,25731.0,26051.5,0,312,157,62,13.6,0.07518796992481099,0.07640878701050567,51.208765,-0.268077,11,73.4,77.36774193548385,-0.7,25710.204982677584,13.504002473924444,50,60,70,80,90,100,110,120,13.5,13.50400247392463,61.46160545250001,61.49805507323302,-0.2000000000007276,-0.02498363143968163
2350,2350,   true,25744.3,26064.6,0,292,156,59,13.5,0.07582938388625593,0.07699711260827613,51.208798,-0.267894,11,73.2,77.08387096774192,-1.1,25723.470705890588,13.265723213003234,50,60,70,80,90,100,110,120,13.299999999999272,13.265723213004094,59.65401036209349,59.3469257090873,-0.2000000000007276,-0.2382792609205353
2351,2351,   true,25757.5,26077.5,0,452,155,0,13.5,0.07662835249042038,0.0775193798449607,51.208836,-0.26771500000000004,11,73.2,76.79999999999997,-1.2,25736.636634684204,13.165928793616295,50,60,70,80,90,100,110,120,13.200000000000728,13.165928793616331,58.76032995360649,58.45738274901273,-0.09999999999854481,-0.0997944193877629
2352,2352,   true,25770.3,26090.2,0,228,155,0,13.3,0.0775193798449607,0.07812499999999889,51.208878999999996,-0.267545,11,73.0,76.5096774193548,-0.8,25749.407947415897,12.771312731694657,50,60,70,80,90,100,110,120,12.799999999999272,12.771312731692888,55.25305589759373,55.005667924535,-0.4000000000014552,-0.39461606192344334
2353,2353,   true,25783.0,26102.8,28,243,154,37,13.1,0.0783545543584732,0.07881773399014777,51.208923999999996,-0.267378,11,72.8,76.21935483870962,-0.8,25762.071917841535,12.66397042563903,50,60,70,80,90,100,110,120,12.700000000000728,12.663970425637672,54.39309927810624,54.08491340085632,-0.09999999999854481,-0.10734230605521589
2354,2354,   true,25795.7,26115.4,178,413,154,89,12.9,0.07912957467853439,0.07936507936507707,51.208969,-0.26721100000000003,11,72.8,75.93548387096772,-0.4,25774.735877824773,12.663959983237133,50,60,70,80,90,100,110,120,12.700000000000728,12.663959983237874,54.39309927810624,54.08482420670364,0.0,-1.0442399798193946e-05
2355,2355,   true,25808.2,26128.0,194,379,153,90,12.8,0.0797607178464612,0.0797607178464612,51.209012,-0.267045,11,72.8,75.65161290322578,0.4,25787.249212497103,12.513334672330103,50,60,70,80,90,100,110,120,12.5,12.51333467233053,52.69342031250001,52.805904196959624,-0.2000000000007276,-0.1506253109073441
2356,2356,   true,25820.7,26140.5,267,395,153,89,12.6,0.08007117437722316,0.08007117437722316,51.20905,-0.266878,11,72.8,75.38064516129032,0.4,25799.626276797142,12.377064300037494,50,60,70,80,90,100,110,120,12.5,12.37706430003891,52.69342031250001,51.662052650053624,0.0,-0.13627037229161942
2357,2357,   true,25833.1,26153.0,269,540,152,89,12.6,0.08071748878923768,0.08064516129032362,51.209081,-0.266706,11,73.0,75.12258064516128,0.4,25812.09403170078,12.467754903640149,50,60,70,80,90,100,110,120,12.399999999997817,12.467754903638706,51.85369796638175,52.421914247834664,-0.10000000000218279,0.0906906035997963
2358,2358,   true,25845.4,26165.4,213,370,152,89,12.5,0.08130081300812955,0.08108108108108107,51.209103999999996,-0.266534,11,73.0,74.87741935483871,0.4,25824.345699396825,12.251667696042363,50,60,70,80,90,100,110,120,12.30000000000291,12.251667696044024,51.020720378124146,50.62054085828311,-0.09999999999490683,-0.2160872075946827
2359,2359,   true,25857.8,26177.8,171,395,151,88,12.4,0.08189262966333193,0.0815217391304364,51.20912,-0.266358,11,73.0,74.64516129032258,0.0,25836.734515016284,12.388815619459308,50,60,70,80,90,100,110,120,12.399999999997817,12.38881561945891,51.85369796638175,51.76019958862487,0.09999999999490683,0.13714792341488646
2360,2360,   true,25869.9,26189.9,170,336,150,88,12.3,0.0823421774931387,0.08196721311475462,51.209134999999996,-0.266187,11,73.0,74.43870967741935,0.0,25848.76281142811,12.028296411825522,50,60,70,80,90,100,110,120,12.100000000002183,12.028296411826886,49.37499947491782,48.79154911522591,-0.2999999999956344,-0.3605192076320236
2361,2361,   true,25881.8,26201.8,152,328,150,86,12.2,0.08287292817679669,0.08241758241758186,51.209149,-0.266018,11,73.0,74.25806451612904,0.4,25860.63805554817,11.87524412006058,50,60,70,80,90,100,110,120,11.899999999997817,11.875244120059506,47.75625760288249,47.557767107305956,-0.20000000000436557,-0.15305229176738067
2362,2362,   true,25893.7,26213.8,204,345,149,85,12.1,0.0835654596100273,0.0831024930747928,51.209163000000004,-0.265849,11,73.0,74.09677419354837,0.4,25872.513296120327,11.875240572156054,50,60,70,80,90,100,110,120,11.900000000001455,11.875240572157054,47.75625760291168,47.557738690156526,3.637978807091713e-12,-3.547902451828122e-06
2363,2363,   true,25905.6,26225.8,193,507,148,85,12.0,0.0842696629213489,0.08387698042870513,51.209179999999996,-0.265681,11,73.2,73.96774193548387,0.4,25884.3680743932,11.854778272869433,50,60,70,80,90,100,110,120,11.899999999997817,11.854778272871044,47.75625760288249,47.393985835766706,-3.637978807091713e-12,-0.02046229928600951
2364,2364,   true,25917.5,26237.8,195,345,148,85,11.9,0.08490566037735849,0.08450704225352113,51.209198,-0.265514,11,73.2,73.85806451612903,0.8,25896.172427951024,11.804353557823802,50,60,70,80,90,100,110,120,11.900000000001455,11.80435355782538,47.75625760291168,46.991659353285364,3.637978807091713e-12,-0.050424715045664925
